n,tot_ret,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,strategy,model,target_vol,threshold,fee_label,fee_rate,avg_turnover,avg_weight,pct_invested
1312,1.310832017341533,0.2624111040044319,0.4341025577393859,0.753548868157922,1.0913161353202936,-0.5459236074697623,0.4806736701141219,vol-managed,HAR-RS-DOW,0.55,0.05,taker_25bps,0.0025,0.013796624589338754,0.9840020895254845,1.0
1312,1.3193677184877197,0.2637066491446196,0.43061091663982637,0.7585967257835095,1.0914561857704306,-0.5457160928807951,0.48323047933685004,vol-managed,HAR-RS-DOW,0.55,0.1,maker_15bps,0.0015,0.011266785902013042,0.9659378588722429,1.0
1312,1.3022424932644148,0.261103898056237,0.4306219752122238,0.7538023178276395,1.0842615529808388,-0.5462585630196878,0.47798591314133143,vol-managed,HAR-RS-DOW,0.55,0.1,blend_20bps,0.002,0.011266785902013042,0.9659378588722429,1.0
1312,1.2852415336855785,0.2585061736831207,0.43063361622180013,0.7490071430680955,1.077067283657102,-0.54680042735057,0.47276146972976796,vol-managed,HAR-RS-DOW,0.55,0.1,taker_25bps,0.0025,0.011266785902013042,0.9659378588722429,1.0
1312,0.6987198844659475,0.15883114046472957,0.2720275332444835,0.6779353044278148,1.0410767982243483,-0.38193009629090824,0.41586442651995453,vol-managed,HAR-WE,0.25,0.0,maker_15bps,0.0015,0.11237669177318542,0.7460712732257841,1.0
1312,0.5779531468153112,0.13529838815522233,0.27207303332845406,0.6024423674372954,0.9241438224635805,-0.39800037532239774,0.3399453783068036,vol-managed,HAR-WE,0.25,0.0,blend_20bps,0.002,0.11237669177318542,0.7460712732257841,1.0
1312,0.4657616188812319,0.11224132013060228,0.27212155950593375,0.526968816164332,0.8074769423268775,-0.4136543352957636,0.2713408528653508,vol-managed,HAR-WE,0.25,0.0,taker_25bps,0.0025,0.11237669177318542,0.7460712732257841,1.0
1312,0.7095107158053391,0.16087437940760752,0.2723964496972955,0.6838690983842687,1.047157416935887,-0.381653533112561,0.4215194291419303,vol-managed,HAR-WE,0.25,0.05,maker_15bps,0.0015,0.10762656854780814,0.7459544597779775,1.0
1312,0.5929351947072958,0.1382869586500255,0.27243979798473383,0.6116641802345195,0.9357687467086536,-0.39712142356910823,0.3482233655570093,vol-managed,HAR-WE,0.25,0.05,blend_20bps,0.002,0.10762656854780814,0.7459544597779775,1.0
1312,0.4842986077134961,0.11613680476297228,0.2724865573954897,0.5394754821767531,0.8244267700134426,-0.4122039284209121,0.28174599210607715,vol-managed,HAR-WE,0.25,0.05,taker_25bps,0.0025,0.10762656854780814,0.7459544597779775,1.0
1312,0.7002899692495612,0.15912901659666367,0.27438050905529593,0.6754254140594764,1.0261429585605268,-0.38934645914483745,0.40870801020298336,vol-managed,HAR-WE,0.25,0.1,maker_15bps,0.0015,0.0917153283768046,0.7424321074555845,1.0
1312,0.600937572209314,0.13987494174899862,0.2744389488049933,0.614291529113629,0.9324698925622643,-0.40250915879310284,0.3475074757762144,vol-managed,HAR-WE,0.25,0.1,blend_20bps,0.002,0.0917153283768046,0.7424321074555845,1.0
1312,0.507380406234526,0.12093858468001994,0.27450141727697863,0.5531755558397417,0.8389879568685563,-0.41538955533132665,0.29114498216874,vol-managed,HAR-WE,0.25,0.1,taker_25bps,0.0025,0.0917153283768046,0.7424321074555845,1.0
1312,1.073790119688549,0.2249669005931889,0.3638039063024985,0.7397300079995173,1.100408790703312,-0.4896046975444468,0.4594868099131467,vol-managed,HAR-WE,0.35,0.0,maker_15bps,0.0015,0.07048681695981689,0.9134382061590803,1.0
1312,0.98002158651929,0.20929967160848362,0.3638344925003108,0.7043115144560339,1.0471581184647032,-0.49752479784969467,0.42068188864771794,vol-managed,HAR-WE,0.35,0.0,blend_20bps,0.002,0.07048681695981689,0.9134382061590803,1.0
